"Centro_Gestor","Preferida","Dependencia","Gasto_Corriente","Gasto_Capital","Gasto_Total"
"Procuraduría General de Justicia",1,1,"94%","43%","92%"
"Secretaría de Desarrollo Social",1,1,"95%","15%","95%"
"Secretaría de Obras y Servicios",1,1,"91%","52%","55%"
"Secretaría de Salud",1,1,"84%","58%","83%"
"Secretaría de Seguridad Pública",1,1,"95%","84%","95%"
"Consejería Jurídica y de Servicios Legales",0,1,"90%","6%","81%"
"Contraloría General",0,1,"88%","49%","88%"
"Jefatura del Gobierno",0,1,"96%","0%","96%"
"Oficialía Mayor",0,1,"80%","0%","77%"
"Secretaría de Ciencia, Tecnología e Innovación",0,1,"72%","0%","71%"
"Secretaría de Cultura",0,1,"89%","53%","87%"
"Secretaría de Desarrollo Económico",0,1,"85%","0%","85%"
"Secretaría de Desarrollo Rural y Equidad para las Comunidades",0,1,"95%","0%","95%"
"Secretaría de Desarrollo Urbano y Vivienda",0,1,"91%","91%","91%"
"Secretaría de Educación",0,1,"71%","0%","68%"
"Secretaría de Finanzas",0,1,"86%","0%","79%"
"Secretaría de Gobierno",0,1,"89%","74%","87%"
"Secretaría de Medio Ambiente",0,1,"83%","33%","70%"
"Secretaría de Movilidad",0,1,"83%","0%","78%"
"Secretaría de Protección Civil",0,1,"61%","0%","55%"
"Secretaría de Turismo",0,1,"95%","67%","94%"
"Secretaría del Trabajo y Fomento al Empleo",0,1,"87%","1%","86%"
"Agencia de Gestión Urbana",0,0,"87%","53%","84%"
"Agencia de Protección Sanitaria del Gobierno",0,0,"52%","0%","42%"
"Autoridad de la Zona Patrimonio Mundial Natural y Cultural de la Humanidad... ",0,0,"89%","65%","88%"
"Autoridad del Centro Histórico",0,0,"86%","0%","85%"
"Autoridad del Espacio Público",0,0,"93%","53%","59%"
"Caja de Previsión de la Policía Auxiliar",0,0,"87%","0%","87%"
"Caja de Previsión de la Policía Preventiva",0,0,"97%","45%","97%"
